token_address,from_address,to_address,value,transaction_hash,log_index,block_number
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000050442,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,40,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000070355,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,42,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000052131,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,44,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000077851,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,46,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000089710,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,48,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000059558,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,50,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000010602,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,52,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000097250,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,54,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000042645,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,56,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000083840,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,58,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000085675,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,60,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000057739,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,62,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000011531,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,64,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000093196,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,66,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000034004,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,68,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000049214,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,70,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000073355,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,72,40645024
0xb70e832105f1678e0e871fa5ece073f2ce1cba5c,0x0000000000000000000000000000000000000000,0xb60c1cf22e464ec5d934c8ec73a7d4c3ec5dea0e,10000057428,0x4740dd6881caf571722e95c7e55bf33fd1681eabd66f42880f42a9d3368227d2,74,40645024
