transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar
0xb521570641cb09e515bb5cd4ce8db69b9ecdfc2088773157e491b70155c2d6ee,124,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,27668982,26024,,,1,8394280669,,,,
0xabae2f1db06b7f13ec382269388fcac3c8213e98abd294ecfc23c077a35c071f,125,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,28421183,752201,,,1,8394280669,,,,
0xe7b05f7fce8be3ad7637238e645a3a88bb8e6463a291ede3db24c9ce3914d0c8,126,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,28532202,111019,,,1,8394280669,,,,
0xff11f24cde23fa781cf37d0711c092bd14f0d909b928814c7a9401b0e335cc36,127,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,29284379,752177,,,1,8394280669,,,,
0xb3a2310383bfe5836e8b75a88a3d286baae961a508f28af78a0d8cc486e9c755,128,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,29310995,26616,,,1,8394280669,,,,
0x9f060d3a087c458508dbee5bd9aac8b4a955ae804d3f860056d133b1cf5b52af,129,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,29337599,26604,,,1,8394280669,,,,
0x7dc6241e8fcc9fc9d2b42f03ea3d063e4a408152eb6963a3c80d0c71f40e1693,130,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,29378092,40493,,,1,8394280669,,,,
0xadb104cc52e394e004a94f59f7466b67e825cba5dcb537294498ec712dd461d4,131,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,29616023,237931,,,1,8394280669,,,,
0x9291abc258e0e8e4cf3fd77890830db774de5e6715c84ef6edebb80811205a38,132,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,29641383,25360,,,1,8394280669,,,,
0xdd110bcfdef2827c598a1376aea9a75bbafa80bf83b9bcddbae9dc8cebb33390,133,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,29876802,235419,,,1,8394280669,,,,
0x5bff4f2fda55edcde1c06c53245fd12be9839184cf111d3d370c70b6b83f74fe,134,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,29902794,25992,,,1,8394280669,,,,
0xee470bcfc72bfa159b30b997eaf1152fb6b39769951236982803583aa375c1f7,135,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,29970198,67404,,,1,8394280669,,,,
0xa6c16fc5989f6dd8c670a8545910f5e1c9396b0ae6679ab5a408f47e44f2aad0,0,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,42725,42725,,,1,58394280658,,,,
0x6380842f7fd7774495ab3cc121aea7023c74cf4305bdd45b01a8d6c04dd7406e,1,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,63725,21000,,,1,50000000000,,,,
0xbf753d6d8df7e6656d4f1760831213b5db457a3ec77d5d16b6c1cb368da31d2b,2,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,84725,21000,,,1,50000000000,,,,
0x0b4b9cc7d8a10f0636b34931a3158db08d711ee8af2726899e17801fa976a36a,3,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,105725,21000,,,1,50000000000,,,,
0x643959892aef70b8e2c0a03f2acdf369ee2f4c3be459be9dc9f7613c697fe04a,4,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,126725,21000,,,1,50000000000,,,,
0x2ca6ee5d43637002f854bd0842cbf693251a775e72661ad8a02cd03d4e5bd77b,5,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,147725,21000,,,1,50000000000,,,,
0xa607d715aa0153efd70a07e5914869f73679880f0aa591c5ffc9d119381a98dc,6,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,168725,21000,,,1,50000000000,,,,
0x0f5968f72344d598ac199802c8eaef3e5d65cb89e38ab4323d6d42f32618d599,7,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,189725,21000,,,1,50000000000,,,,
0x9043b5a172c154464cecabec3b6e0edf3600c1386555498640a6ce2877abf13e,8,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,210725,21000,,,1,50000000000,,,,
0x0ba3a1d9038a1d1bbf90f5a14ee63f96c65112e46044cd48c31ef1686b184200,9,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,231725,21000,,,1,50000000000,,,,
0x0359eebfc029ae1cc60af6ac5d509174a1354390aa36cf247a656c814c7c68b0,10,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,252725,21000,,,1,50000000000,,,,
0xbc3c06ba2ad71bd214c2c179c60759abceadf6dcb4fc30dad261f9aa2c380682,11,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,273725,21000,,,1,50000000000,,,,
0x7958dce8d3363d1602d8111929efaaf2165140bb5a0217b6419545258658e21b,12,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,294725,21000,,,1,50000000000,,,,
0x4df7a50dbd02c4168c578da4c12d2d5e7601a25ec513ac01d426fc6e83198310,13,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,315725,21000,,,1,22221045198,,,,
0x00a1c91e627c405cafff2e75fe402612127af267f2eef6d6f1ac50202ab7bc1c,14,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,336725,21000,,,1,22221045198,,,,
0x6b6e9a346cec6c9a9a5f99c0d6862fdbc984151afa87666be7f132e2b7fee756,15,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,420013,83288,,,1,16190242170,,,,
0x6ce0810fcdb8ef9cb9742d6c2abe00b9ccb665897b28bf23da466ab821554bee,16,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,441013,21000,,,1,12142681627,,,,
0xcade95c59fc46517022ae3d654962b3069bce727b6e6ef2682a58ce4a2d56f4f,17,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,1219999,778986,,,1,11394280658,,,,
0xee50b60f4c2e24568e4d497bea585d93de287a75292950f48480e185b61b4671,18,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,1332469,112470,,,1,11394280658,,,,
