hash,nonce,block_hash,block_number,transaction_index,from_address,to_address,value,gas,gas_price,input,block_timestamp,max_fee_per_gas,max_priority_fee_per_gas,transaction_type
0xa6c16fc5989f6dd8c670a8545910f5e1c9396b0ae6679ab5a408f47e44f2aad0,9721,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,0,0x8d708fbb28b1f39ded877972a952c77346df5fcc,0xb4d360459f32dd641ef5a6985ffbac5c4e5521aa,0,70000,58394280658,0x97998611000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000050ac355a82cab31194507f94174297bf0655a72ab19bbacd84c29003e1f63dc14a13fcfa48678ce3b134602bd5ceec33f76b56,1702263096,100000000000,50000000000,2
0x6380842f7fd7774495ab3cc121aea7023c74cf4305bdd45b01a8d6c04dd7406e,8,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,1,0xf06cccd008c4a8842ebd91dc85f1ceeb826cf56e,0x27bc84873c51b0b6c2612918bf2620e543449aa6,498950000000000000,21000,50000000000,0x,1702263096,,,0
0xbf753d6d8df7e6656d4f1760831213b5db457a3ec77d5d16b6c1cb368da31d2b,4,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,2,0xa38d890668869c59ac36ac2d45ea4bc8e54f3f97,0x27bc84873c51b0b6c2612918bf2620e543449aa6,498950000000000000,21000,50000000000,0x,1702263096,,,0
0x0b4b9cc7d8a10f0636b34931a3158db08d711ee8af2726899e17801fa976a36a,10,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,3,0xf7555be8fb84387b9c0111b490e81ae4b8719ce9,0x27bc84873c51b0b6c2612918bf2620e543449aa6,498950000000000000,21000,50000000000,0x,1702263096,,,0
0x643959892aef70b8e2c0a03f2acdf369ee2f4c3be459be9dc9f7613c697fe04a,6,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,4,0x8f2eb6434e3619b7aaa3eaa2b2a437fd96b29fb6,0x27bc84873c51b0b6c2612918bf2620e543449aa6,498950000000000000,21000,50000000000,0x,1702263096,,,0
0x2ca6ee5d43637002f854bd0842cbf693251a775e72661ad8a02cd03d4e5bd77b,8,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,5,0x83bdb855ef484eee6850fd130615c2974bf04b29,0x27bc84873c51b0b6c2612918bf2620e543449aa6,498950000000000000,21000,50000000000,0x,1702263096,,,0
0xa607d715aa0153efd70a07e5914869f73679880f0aa591c5ffc9d119381a98dc,8,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,6,0x845ef5cc3cbe8538ee8bf8f823aa988fc44f05ac,0x27bc84873c51b0b6c2612918bf2620e543449aa6,498950000000000000,21000,50000000000,0x,1702263096,,,0
0x0f5968f72344d598ac199802c8eaef3e5d65cb89e38ab4323d6d42f32618d599,7,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,7,0xbd6a1a8b4888e549c2cd98f0d83cd36ad4d86246,0x27bc84873c51b0b6c2612918bf2620e543449aa6,498950000000000000,21000,50000000000,0x,1702263096,,,0
0x9043b5a172c154464cecabec3b6e0edf3600c1386555498640a6ce2877abf13e,10,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,8,0xe6a85a0495597b12e67a39896e2c4a4280f08bf5,0x27bc84873c51b0b6c2612918bf2620e543449aa6,498950000000000000,21000,50000000000,0x,1702263096,,,0
0x0ba3a1d9038a1d1bbf90f5a14ee63f96c65112e46044cd48c31ef1686b184200,9,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,9,0xdd100a205ac2d625e0b9c34495767e287fc6b69f,0x27bc84873c51b0b6c2612918bf2620e543449aa6,498950000000000000,21000,50000000000,0x,1702263096,,,0
0x0359eebfc029ae1cc60af6ac5d509174a1354390aa36cf247a656c814c7c68b0,30931,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,10,0x27bc84873c51b0b6c2612918bf2620e543449aa6,0x97fc4ee51694e10c8745954c451b850cf326212a,4489500000000000500,21000,50000000000,0x,1702263096,,,0
0xbc3c06ba2ad71bd214c2c179c60759abceadf6dcb4fc30dad261f9aa2c380682,9,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,11,0xaa5672f4c25492f50529013aeae01bdc6b457043,0x27bc84873c51b0b6c2612918bf2620e543449aa6,498950000000000000,21000,50000000000,0x,1702263096,,,0
0x7958dce8d3363d1602d8111929efaaf2165140bb5a0217b6419545258658e21b,5,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,12,0xff5b4b27be9b9f6ade7d34078eef7e8401172cb2,0x27bc84873c51b0b6c2612918bf2620e543449aa6,498950000000000000,21000,50000000000,0x,1702263096,,,0
0x4df7a50dbd02c4168c578da4c12d2d5e7601a25ec513ac01d426fc6e83198310,450436,0x42b26249064907e3ccb55526d089efa39c5012f24e575543305fd277835efbfd,4863390,13,0xa7e4ef0a9e15bdef215e2ed87ae050f974ecd60b,0xead65ae251f796ce515922f7bf5ee2a9e64ece3c,500000000000000000,63000,22221045198,0x,1702263096,,,0
